Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
AFG,0.0,0.0,0.0,28.14107458,41.75993284,55.37879109,49.75676942,44.13474775,43.01590668,43.01590668,43.01590668,43.01590668
AGO,0.0,0.0,0.0,0.0,0.0,0.324324324,0.366008316,0.407692308,0.450351351,0.476824324,0.476824324,0.476824324
ALB,0.0,0.0,0.0,0.0,0.0,0.0,4.399851301,5.317695167,6.18260223,4.713903346,4.443828996,4.416356877
ARE,0.0,0.0,0.0,0.0,707.3777778,975.8222222,1076.4,1360.96,1499.991111,1847.151515,1798.363636,1708.0
ARG,0.0,0.0,0.0,9.469718818,9.558038933,9.646359048,9.734439438,10.03228425,10.85545221,11.99517435,12.90753425,12.90753425
ARM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.97186179,25.25149439,43.91310687,42.87797055,41.76993731
ATG,0.0,0.0,0.0,0.0,0.0,0.0,4.141025577,6.320512885,8.5,9.423076923,8.461538462,8.461538462
AUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45695122,4.219773035,3.284979675,3.133875339,3.240853659
AUT,0.0,0.0,0.0,0.0,6.245090909,6.669454545,6.657818182,6.621818182,6.503636364,6.404772727,6.345454545,6.345454545
AZE,0.0,0.0,0.0,0.0,0.0,0.0,199.65496,154.2575478,124.1528035,151.2014787,147.5046211,157.5058534
BDI,0.0,0.0,0.0,0.0,0.0,0.994035785,1.712800122,2.431564459,2.831411531,2.784294235,2.784294235,2.784294235
BEL,0.0,0.0,0.0,0.0,74.38816667,72.22316667,70.05816667,64.08333333,56.13083333,51.78333333,44.16666667,33.28333333
BEN,0.0,0.0,0.0,0.0,0.0,1.161504854,1.395752427,1.392163661,1.262135922,1.262135922,1.262135922,1.262135922
BFA,0.0,0.0,0.0,0.0,0.0,2.51648,3.008,3.777777778,6.05296,6.544,6.5336,6.5336
BGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.16190476,34.16190476
BGR,0.0,0.0,0.0,0.0,67.35238095,62.04298413,34.88349206,31.33428571,31.3747619,29.53238095,27.21238095,26.94285714
BHR,0.0,0.0,0.0,0.0,0.0,0.0,5194.182693,6459.326923,6397.804488,5425.681818,4748.40909,3877.5
BIH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.057746479,1.097464789,1.232957746,1.129295775
BLR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.655294118,5.248823529,4.831764706,4.48627451,4.108823529
BLZ,0.0,0.0,0.0,0.0,0.0,0.131061599,0.232277279,0.492299051,0.661861075,0.661861075,0.661861075,0.661861075
BOL,0.0,0.0,0.0,0.0,0.0,0.408566722,0.50647746,0.604388198,0.658449403,0.683277586,0.687973641,0.687973641
BRA,0.0,0.0,0.0,0.0,0.0,0.618971913,0.813578284,0.974209504,1.002473061,1.099099099,1.234066419,1.160219043
BRB,37.5,46.875,56.25,65.625,75.0,84.375,93.75,101.25,101.25,87.5,87.5,87.5
BRN,0.0,0.0,0.0,0.0,0.0,0.0,0.956862745,1.082352941,1.082352941,1.082352941,1.082352941,1.082352941
BTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433205128,0.433205128
BWA,0.0,0.0,0.0,0.0,0.0,4.023333333,4.708333333,6.818333333,8.107575758,8.168181817,8.1,8.041666667
CAF,0.0,0.0,0.0,0.0,0.0,0.013758865,0.026524823,0.03929078,0.048737589,0.05141844,0.05141844,0.05141844
CAN,0.0,0.0,0.0,0.0,0.0,1.501003509,1.561929825,1.478237002,1.463983413,1.449729825,1.278596491,1.253684211
CHE,0.0,0.0,0.0,6.421782178,6.464851485,6.584158416,6.670792079,6.331930693,6.232673267,5.597153465,4.961633663,4.292079208
CHL,0.0,0.0,0.0,0.0,0.0,0.0,2.292112994,2.903089588,3.512941889,3.996384181,3.996384181,3.996384181
CHN,0.0,0.0,0.0,0.0,16.36917881,17.37063633,18.3765849,19.19557158,19.62957696,20.21685034,21.28688233,21.03803768
CIV,0.0,0.0,0.0,0.0,0.0,0.922696512,1.517438834,1.718375846,1.906507028,1.902799468,1.624211927,1.512233212
